id,source,target,node_type,metric_type,entity_type,entity_code,tons,usd,edge_count
325,1033,1007,ss,tons,c,9,437.489,NULL,33
326,1033,1044,ss,tons,c,9,6164.82,NULL,33
327,1010,1047,ss,tons,c,9,11792.1,NULL,33
328,1010,1007,ss,tons,c,9,5861.09,NULL,33
329,1010,1044,ss,tons,c,9,68900.2,NULL,33
330,1047,1044,ss,tons,c,9,3912.92,NULL,33
331,1047,1021,ss,tons,c,9,1516,NULL,33
332,1039,1031,ss,tons,c,10,440484,NULL,11
333,1039,1033,ss,tons,c,10,123186,NULL,11
334,1031,1033,ss,tons,c,10,1261480,NULL,11
335,1033,1024,ss,tons,c,10,20542.7,NULL,11
336,1033,1050,ss,tons,c,10,16131.3,NULL,11
337,1024,1015,ss,tons,c,10,5484.51,NULL,11
338,1024,1028,ss,tons,c,10,1776910,NULL,11
339,1024,1003,ss,tons,c,10,55980.1,NULL,11
340,1024,1050,ss,tons,c,10,171287,NULL,11
341,1015,1043,ss,tons,c,10,169101,NULL,11
342,1015,1050,ss,tons,c,10,180403,NULL,11
343,1044,1050,ss,tons,c,11,53487100,NULL,26
344,1044,1014,ss,tons,c,11,10524500,NULL,26
345,1044,1039,ss,tons,c,11,9082.32,NULL,26
346,1044,1010,ss,tons,c,11,6072150,NULL,26
347,1044,1001,ss,tons,c,11,20507.6,NULL,26
348,1044,1034,ss,tons,c,11,34023900,NULL,26
349,1044,1011,ss,tons,c,11,10602400,NULL,26
350,1044,1024,ss,tons,c,11,29364300,NULL,26
351,1050,1014,ss,tons,c,11,1176500,NULL,26
352,1050,1031,ss,tons,c,11,12699.1,NULL,26
353,1050,1034,ss,tons,c,11,21967.6,NULL,26
354,1050,1011,ss,tons,c,11,34317.6,NULL,26
355,1050,1024,ss,tons,c,11,166205,NULL,26
356,1014,1010,ss,tons,c,11,91999.8,NULL,26
357,1014,1001,ss,tons,c,11,1016720,NULL,26
358,1014,1011,ss,tons,c,11,1230470,NULL,26
359,1014,1024,ss,tons,c,11,542990,NULL,26
360,1039,1031,ss,tons,c,11,29189900,NULL,26
361,1010,1001,ss,tons,c,11,16761200,NULL,26
362,1010,1034,ss,tons,c,11,262483,NULL,26
363,1010,1011,ss,tons,c,11,22022400,NULL,26
364,1001,1034,ss,tons,c,11,100566,NULL,26
365,1001,1011,ss,tons,c,11,4055910,NULL,26
366,1034,1011,ss,tons,c,11,1427780,NULL,26
367,1011,1031,ss,tons,c,11,221667,NULL,26
368,1024,1031,ss,tons,c,11,330.004,NULL,26
369,1024,1050,ss,tons,c,12,56290900,NULL,19
370,1050,1023,ss,tons,c,12,10353800,NULL,19
371,1050,1044,ss,tons,c,12,18206.5,NULL,19
372,1015,1023,ss,tons,c,12,30642900,NULL,19
373,1015,1018,ss,tons,c,12,14566800,NULL,19
374,1015,1036,ss,tons,c,12,9809340,NULL,19
375,1015,1011,ss,tons,c,12,75154,NULL,19
376,1015,1034,ss,tons,c,12,33046.7,NULL,19
377,1023,1036,ss,tons,c,12,35038400,NULL,19
378,1018,1036,ss,tons,c,12,9901050,NULL,19
379,1036,1011,ss,tons,c,12,346917,NULL,19
380,1036,1034,ss,tons,c,12,11504.9,NULL,19
381,1036,1039,ss,tons,c,12,2581750,NULL,19
382,1011,1044,ss,tons,c,12,331937,NULL,19
383,1011,1034,ss,tons,c,12,4078070,NULL,19
384,1011,1039,ss,tons,c,12,3156310,NULL,19
385,1034,1044,ss,tons,c,12,16674000,NULL,19
386,1034,1039,ss,tons,c,12,73650.8,NULL,19
387,1044,1039,ss,tons,c,12,33580.6,NULL,19
388,1024,1019,ss,tons,c,13,2763930,NULL,35
389,1024,1011,ss,tons,c,13,481889,NULL,35
390,1024,1044,ss,tons,c,13,160391,NULL,35
391,1024,1023,ss,tons,c,13,10008900,NULL,35
392,1024,1036,ss,tons,c,13,46351.9,NULL,35
393,1024,1014,ss,tons,c,13,201526,NULL,35
394,1024,1033,ss,tons,c,13,6324.76,NULL,35
395,1019,1011,ss,tons,c,13,1422250,NULL,35
396,1019,1044,ss,tons,c,13,1966070,NULL,35
397,1019,1051,ss,tons,c,13,8848.86,NULL,35
398,1019,1036,ss,tons,c,13,1152630,NULL,35
399,1019,1014,ss,tons,c,13,9025580,NULL,35
400,1011,1044,ss,tons,c,13,2148280,NULL,35
401,1011,1051,ss,tons,c,13,965607,NULL,35
402,1011,1023,ss,tons,c,13,2570710,NULL,35
403,1011,1045,ss,tons,c,13,23444.2,NULL,35
404,1011,1036,ss,tons,c,13,1913230,NULL,35
405,1011,1014,ss,tons,c,13,887263,NULL,35
406,1011,1033,ss,tons,c,13,594516,NULL,35
407,1044,1051,ss,tons,c,13,961352,NULL,35
408,1044,1023,ss,tons,c,13,95057.9,NULL,35
409,1044,1045,ss,tons,c,13,804862,NULL,35
410,1044,1036,ss,tons,c,13,290985,NULL,35
411,1044,1014,ss,tons,c,13,484619,NULL,35
412,1044,1033,ss,tons,c,13,288725,NULL,35
413,1023,1036,ss,tons,c,13,4347540,NULL,35
414,1023,1014,ss,tons,c,13,766459,NULL,35
415,1023,1033,ss,tons,c,13,358239,NULL,35
416,1036,1045,ss,tons,c,13,7843.38,NULL,35
417,1036,1014,ss,tons,c,13,2916300,NULL,35
418,1036,1033,ss,tons,c,13,2929900,NULL,35
419,1014,1045,ss,tons,c,13,331718,NULL,35
420,1014,1033,ss,tons,c,13,929474,NULL,35
421,1033,1045,ss,tons,c,13,36882.5,NULL,35
422,1051,1045,ss,tons,c,13,18606300,NULL,35
423,1024,1023,ss,tons,c,14,22050300,NULL,30
424,1024,1039,ss,tons,c,14,16298000,NULL,30
425,1024,1014,ss,tons,c,14,221723,NULL,30
426,1023,1015,ss,tons,c,14,24413,NULL,30
427,1023,1036,ss,tons,c,14,92689.9,NULL,30
428,1023,1039,ss,tons,c,14,62469.9,NULL,30
429,1023,1014,ss,tons,c,14,77745.1,NULL,30
430,1039,1015,ss,tons,c,14,59654.5,NULL,30
431,1039,1036,ss,tons,c,14,45383.8,NULL,30
432,1039,1044,ss,tons,c,14,3167.07,NULL,30
433,1039,1050,ss,tons,c,14,543.101,NULL,30
434,1039,1014,ss,tons,c,14,5589.03,NULL,30
435,1039,1033,ss,tons,c,14,224894,NULL,30
436,1039,1004,ss,tons,c,14,7244.06,NULL,30
437,1014,1015,ss,tons,c,14,138199,NULL,30
438,1014,1036,ss,tons,c,14,140165,NULL,30
439,1014,1044,ss,tons,c,14,649855,NULL,30
440,1014,1050,ss,tons,c,14,88921.2,NULL,30
441,1014,1033,ss,tons,c,14,25598.6,NULL,30
442,1014,1004,ss,tons,c,14,6370.57,NULL,30
443,1015,1036,ss,tons,c,14,13083.6,NULL,30
444,1015,1044,ss,tons,c,14,175238,NULL,30
445,1015,1033,ss,tons,c,14,52773.8,NULL,30
446,1036,1044,ss,tons,c,14,37337.3,NULL,30
447,1036,1050,ss,tons,c,14,120937,NULL,30
448,1036,1033,ss,tons,c,14,180612,NULL,30
449,1044,1050,ss,tons,c,14,59137.8,NULL,30
450,1044,1004,ss,tons,c,14,1304730,NULL,30
451,1033,1050,ss,tons,c,14,35997.8,NULL,30
452,1050,1004,ss,tons,c,14,1292.13,NULL,30
453,1049,1018,ss,tons,c,15,10107600,NULL,10
454,1049,1036,ss,tons,c,15,147356000,NULL,10
455,1049,1039,ss,tons,c,15,121607000,NULL,10
456,1018,1014,ss,tons,c,15,363454,NULL,10
457,1018,1036,ss,tons,c,15,14348100,NULL,10
458,1018,1039,ss,tons,c,15,2133610,NULL,10
459,1018,1015,ss,tons,c,15,15162100,NULL,10
460,1036,1039,ss,tons,c,15,11396000,NULL,10
461,1014,1015,ss,tons,c,15,67214600,NULL,10
462,1015,1050,ss,tons,c,15,428158,NULL,10
463,1044,1019,ss,tons,c,16,572116000,NULL,23
464,1044,1037,ss,tons,c,16,98305400,NULL,23
465,1044,1032,ss,tons,c,16,92869500,NULL,23
466,1044,1014,ss,tons,c,16,41612100,NULL,23
467,1044,1036,ss,tons,c,16,32018200,NULL,23
468,1044,1017,ss,tons,c,16,37750800,NULL,23
469,1019,1037,ss,tons,c,16,59859800,NULL,23
470,1019,1014,ss,tons,c,16,18436600,NULL,23
471,1019,1036,ss,tons,c,16,14371800,NULL,23
472,1019,1017,ss,tons,c,16,19258000,NULL,23
473,1037,1032,ss,tons,c,16,8094310,NULL,23
474,1037,1006,ss,tons,c,16,20017300,NULL,23
475,1037,1014,ss,tons,c,16,6601720,NULL,23
476,1037,1051,ss,tons,c,16,15259000,NULL,23
477,1037,1017,ss,tons,c,16,2796230,NULL,23
478,1032,1014,ss,tons,c,16,7395720,NULL,23
479,1032,1017,ss,tons,c,16,4974550,NULL,23
480,1014,1006,ss,tons,c,16,20048800,NULL,23
